daily_volume_usd,median_outcome,percentile_25,percentile_75
1000.0,18599.73195011122,-163799.14346525914,223493.200150159
1623.776739188721,19460.543850191636,-162938.33156517873,224354.01205023943
2636.650898730358,20858.31019035913,-161540.56522501123,225751.77839040692
4281.332398719395,23127.970660344,-159270.90475502636,228021.4388603918
6951.927961775606,26813.392537361477,-155585.48287800886,231706.86073740927
11288.378916846883,32797.69485535985,-149601.18056001049,237691.16305540764
18329.807108324374,42514.86575959879,-139884.00965577154,247408.33395964658
29763.51441631319,58293.38184462348,-124105.49357074691,263186.8500446713
48329.30238571752,83914.16924240137,-98484.70617296896,288807.63744244917
78475.99703514607,125516.60785861267,-56882.267556757666,330410.0760586605
127427.49857031321,193069.67997714342,10670.804561773082,397963.1481771912
206913.808111479,302760.7871439522,120361.91172858188,507654.255344
335981.8286283781,480874.6554572731,298475.78004190273,685768.1236573209
545559.4781168514,770091.8117513661,587692.9363359958,974985.279951414
885866.7904100833,1239715.9027160262,1057317.0273006558,1444609.3709160741
1438449.888287663,2002280.5777870864,1819881.7023717156,2207174.045987134
2335721.4690901213,3240515.359294479,3058116.483879109,3445408.8274945263
3792690.190732246,5251132.195160611,5068733.319745241,5456025.663360659
6158482.110660254,8515925.044661263,8333526.169245893,8720818.512861311
10000000.0,13817219.731950112,13634820.856534742,14022113.20015016
