,daily_volume_usd,final_net_gain_loss_usd
0,1000.0,5336.70785030839
1,1623.776739188721,6197.519750388805
2,2636.650898730358,7595.286090556299
3,4281.332398719395,9864.946560541168
4,6951.927961775606,13550.368437558645
5,11288.378916846883,19534.670755557017
6,18329.807108324374,29251.84165979596
7,29763.51441631319,45030.35774482065
8,48329.30238571752,70651.14514259854
9,78475.99703514607,112253.58375881007
10,127427.49857031321,179806.65587734058
11,206913.808111479,289497.7630441494
12,335981.8286283781,467611.6313574703
13,545559.4781168514,756828.7876515635
14,885866.7904100833,1226452.8786162236
15,1438449.888287663,1989017.5536872833
16,2335721.4690901213,3227252.3351946757
17,3792690.190732246,5237869.171060808
18,6158482.110660254,8502662.02056146
19,10000000.0,13803956.70785031
